src,satb,articulation,instrument,duration_s,dest
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Alto-Flute-solo/Alto-Flute-sus-F#6-PB-loop.wav,S,sustain_long,Alto Flute,2.36,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/S/sustain_long/Alto Flute/Alto-Flute-sus-F#6-PB-loop.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Alto-Flute-solo/Alto-Flute-sus-F4-PB-loop.wav,S,sustain_long,Alto Flute,3.06,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/S/sustain_long/Alto Flute/Alto-Flute-sus-F4-PB-loop.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Alto-Flute-solo/Alto-Flute-sus-F6-PB-loop.wav,S,sustain_long,Alto Flute,2.48,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/S/sustain_long/Alto Flute/Alto-Flute-sus-F6-PB-loop.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Alto-Flute-solo/Alto-Flute-sus-G#4-PB-loop.wav,S,sustain_long,Alto Flute,2.54,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/S/sustain_long/Alto Flute/Alto-Flute-sus-G#4-PB-loop.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Alto-Flute-solo/Alto-Flute-sus-G#5-PB-loop.wav,S,sustain_long,Alto Flute,2.82,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/S/sustain_long/Alto Flute/Alto-Flute-sus-G#5-PB-loop.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Alto-Flute-solo/Alto-Flute-sus-G4-PB-loop.wav,S,sustain_long,Alto Flute,2.88,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/S/sustain_long/Alto Flute/Alto-Flute-sus-G4-PB-loop.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bass-solo/Bass.pizz.A1-PB.wav,B,pizzicato,Basses,2.36,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/B/pizzicato/Basses/Bass.pizz.A1-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bass-solo/Bass.pizz.A2-PB.wav,B,pizzicato,Basses,2.1,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/B/pizzicato/Basses/Bass.pizz.A2-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bass-solo/Bass.pizz.A3-PB.wav,B,pizzicato,Basses,1.78,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/B/pizzicato/Basses/Bass.pizz.A3-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bass-solo/Bass.pizz.B1-PB.wav,B,pizzicato,Basses,1.57,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/B/pizzicato/Basses/Bass.pizz.B1-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bass-solo/Bass.pizz.B2-PB.wav,B,pizzicato,Basses,1.86,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/B/pizzicato/Basses/Bass.pizz.B2-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bass-solo/Bass.pizz.B3-PB.wav,B,pizzicato,Basses,1.31,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/B/pizzicato/Basses/Bass.pizz.B3-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bass-solo/Bass.pizz.Bb1-PB.wav,B,pizzicato,Basses,2.2,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/B/pizzicato/Basses/Bass.pizz.Bb1-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bass-solo/Bass.pizz.Bb2-PB.wav,B,pizzicato,Basses,1.83,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/B/pizzicato/Basses/Bass.pizz.Bb2-PB.wav
